Ward ID,Ward,Councillor,Journal Date,Vendor,Expense Type,Description,Account,Amount
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/30/2016 12:00:00 AM,Cdn Tire Store #00,CWA,CWA -  Blueboxes And Bags For -Mar 20,Stationery and Office Supplies,$193.97
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/30/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Metered Postage April 2016,Postage,$2.51
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1798.12
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/30/2016 12:00:00 AM,Ctc*Constantcontac,CWA,CWA -  E-Newsletter Service-Mar 25,Periodicals and Subscriptions,$81.60
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/30/2016 12:00:00 AM,Miss Browns,CWA,CWA -  Aboriginal Youth Oppurt-Mar 17,Business Meetings,$13.07
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/30/2016 12:00:00 AM,Peasantcookery,CWA,CWA -  Fcm Planning Meeting-Mar 18,Business Meetings,$44.98
9,Fort Rouge - East Fort Garry,Jenny Gerbasi,04/30/2016 12:00:00 AM,The Donrestaurant,CWA,CWA -  Ward Discussion-Mar 18,Business Meetings,$21.50
8,River Heights - Fort Garry,John Orlikow,04/30/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Metered Postage April 2016,Postage,$5.02
8,River Heights - Fort Garry,John Orlikow,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2137.58
4,Daniel McIntyre,Cindy Gilroy,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2146.90
5,St. James - Brooklands - Weston,Scott Gillingham,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1758.90
7,Charleswood - Tuxedo - Whyte Ridge,Marty Morantz,04/30/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Metered Postage April 2016,Postage,$13.28
7,Charleswood - Tuxedo - Whyte Ridge,Marty Morantz,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1927.17
6,St. Charles,Shawn Dobson,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1963.38
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Beyond The Press,CWA,CWA -  St. Peter'S Roman Catho-Mar 30,Advertising,$415.80
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Metered Postage April 2016,Postage,$75.70
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2046.43
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Ctc*Constantcontac,CWA,CWA -  Website Domain Subscrip-Mar 08,Periodicals and Subscriptions,$27.49
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Pampanga Restauran,CWA,CWA -  Logan Avenue Biz Zone M-Mar 17,Ward Activities,$332.28
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Red River College-,CWA,CWA -  Unemployed Youth Africa-Mar 11,Business Meetings,$27.97
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Scma Manitoba Inc,CWA,CWA -  Yearly Membership Fee-Mar 29,Membership Fees,$415.00
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Staplesstore #230,CWA,CWA -  Supplies - Ink Cartridg-Mar 05,Stationery and Office Supplies,$151.36
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Wpg Free Press Onl,CWA,CWA - February Online Subscrip-Mar 06,Periodicals and Subscriptions,$19.25
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Wpg Free Press Onl,CWA,CWA - March Online Subscriptio-Mar 25,Periodicals and Subscriptions,$19.25
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,Subway #Armbruster,Chairmanship,Chairmanship - Subway #205 37,Business Meetings,$83.98
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,"Westjetpagtakhan,",Chairmanship,Chairmanship - Westjet  83826088220 40,Conferences Involving Travel,$25.00
3,Point Douglas,Mike Pagtakhan,04/30/2016 12:00:00 AM,"Winnipegpagtakhan,",Chairmanship,Chairmanship - Winnipeg Airports Au Th,Conferences Involving Travel,$34.29
1,Old Kildonan,Devi Sharma,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1313.58
1,Old Kildonan,Devi Sharma,04/30/2016 12:00:00 AM,Safeway#4853,CWA,CWA -  Water For Community Off-Mar 21,Stationery and Office Supplies,$7.62
1,Old Kildonan,Devi Sharma,04/30/2016 12:00:00 AM,Shoppersdrugmart05,CWA,CWA -  Cream For Community Off-Mar 30,Stationery and Office Supplies,$3.12
2,Mynarski,Ross Eadie,04/30/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Metered Postage April 2016,Postage,$3.20
2,Mynarski,Ross Eadie,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$2212.49
15,North Kildonan,Jeff Browaty,04/30/2016 12:00:00 AM,City of Winnipeg - Journal Entry,CWA,CWA - Metered Postage April 2016,Postage,$1.60
15,North Kildonan,Jeff Browaty,04/30/2016 12:00:00 AM,Councillor's Executive Assistant,CWA,CWA - Executive Assistant Salary & Benefits,Casual Services,$1801.40
